protein1 protein2 combined_score
0000.SXRAMZ4389 0000.ZZVCJK5990 683
0000.SXRAMZ4389 0000.NFQDRK2262 653
0000.ZZVCJK5990 0000.SXRAMZ4389 683
0000.ZZVCJK5990 0000.RWRYZA7560 61
0000.ZZVCJK5990 0000.KDSXCI8756 878
0000.CAAJZU0477 0000.WWSSTW1764 35
0000.CAAJZU0477 0000.PBJIYU1885 519
0000.CAAJZU0477 0000.BINOER6583 603
0000.WWSSTW1764 0000.CAAJZU0477 35
0000.RWRYZA7560 0000.SYBTRS0706 688
0000.RWRYZA7560 0000.ZZVCJK5990 61
0000.SYBTRS0706 0000.RWRYZA7560 688
0000.SYBTRS0706 0000.BKVGVP3482 56
0000.SYBTRS0706 0000.TAAFAN8506 60
0000.SYBTRS0706 0000.WBIYBI3266 518
0000.BVKVZS1616 0000.PMYSNF6733 652
0000.PMYSNF6733 0000.BVKVZS1616 652
0000.PMYSNF6733 0000.PPOSRR1881 539
0000.ALKVFQ2161 0000.XOBSLI3546 524
0000.ALKVFQ2161 0000.RQLRTP9170 590
0000.XOBSLI3546 0000.ALKVFQ2161 524
0000.XOBSLI3546 0000.DLXJIQ3010 298
0000.XOBSLI3546 0000.CHTGBJ2019 300
0000.XOBSLI3546 0000.EIPNTX4787 89
0000.XOBSLI3546 0000.BOVXYU3436 292
0000.XOBSLI3546 0000.WASEEJ8351 653
0000.XOBSLI3546 0000.WXJMOX3894 955
0000.XOBSLI3546 0000.BKVGVP3482 25
0000.PDTYTX2098 0000.UKVIMG0649 390
0000.PDTYTX2098 0000.BKVGVP3482 951
0000.UKVIMG0649 0000.PDTYTX2098 390
0000.BINOER6583 0000.OGBQPR8442 711
0000.BINOER6583 0000.CAAJZU0477 603
0000.BINOER6583 0000.LYYABQ5017 357
0000.BINOER6583 0000.OZPAPV7189 955
0000.OGBQPR8442 0000.BINOER6583 711
0000.OGBQPR8442 0000.ZMMBLO5549 334
0000.EHDNPY9862 0000.WASEEJ8351 284
0000.EHDNPY9862 0000.JXDNZM7828 84
0000.WASEEJ8351 0000.EHDNPY9862 284
0000.WASEEJ8351 0000.XOBSLI3546 653
0000.GGWXGA8719 0000.PYGXBQ8401 477
0000.PYGXBQ8401 0000.GGWXGA8719 477
0000.PYGXBQ8401 0000.BKVGVP3482 386
0000.NWPDBL7511 0000.PPOSRR1881 747
0000.NWPDBL7511 0000.NPDENX0858 2
0000.PPOSRR1881 0000.NWPDBL7511 747
0000.PPOSRR1881 0000.PMYSNF6733 539
0000.CAQFLT8604 0000.LKYEFJ9350 186
0000.CAQFLT8604 0000.GBTIMM5705 745
0000.CAQFLT8604 0000.QULLOZ2927 580
0000.CAQFLT8604 0000.VBRTKF1108 26
0000.CAQFLT8604 0000.PBJIYU1885 949
0000.LKYEFJ9350 0000.CAQFLT8604 186
0000.HEVDOO2991 0000.HUPFDV5040 438
0000.HEVDOO2991 0000.UJABPV9862 989
0000.HUPFDV5040 0000.HEVDOO2991 438
0000.HUPFDV5040 0000.SLYCYW2312 750
0000.HUPFDV5040 0000.WXJMOX3894 272
0000.HLROOL8713 0000.WPDSWL9228 673
0000.WPDSWL9228 0000.HLROOL8713 673
0000.WPDSWL9228 0000.GHWUPK1997 131
0000.TLGMSA7561 0000.YXFMOK5700 148
0000.TLGMSA7561 0000.DLXJIQ3010 773
0000.YXFMOK5700 0000.TLGMSA7561 148
0000.GHWUPK1997 0000.MGHFRZ4513 366
0000.GHWUPK1997 0000.WPDSWL9228 131
0000.GHWUPK1997 0000.CHTGBJ2019 767
0000.MGHFRZ4513 0000.GHWUPK1997 366
0000.MGHFRZ4513 0000.LRNYJN7329 56
0000.MGHFRZ4513 0000.UZIRHO7066 454
0000.MGHFRZ4513 0000.ZAAYIA1513 633
0000.SLYCYW2312 0000.HUPFDV5040 750
0000.RQLRTP9170 0000.ALKVFQ2161 590
0000.RQLRTP9170 0000.PEJJAG1836 892
0000.RQLRTP9170 0000.BWOUKF2097 505
0000.FSPXML0512 0000.SDOJWV9550 558
0000.FSPXML0512 0000.RZBTKV8420 19
0000.SDOJWV9550 0000.FSPXML0512 558
0000.SDOJWV9550 0000.LOGHCG9331 883
0000.AUHFCH9870 0000.CHTGBJ2019 847
0000.AUHFCH9870 0000.OHJRVS9034 404
0000.CHTGBJ2019 0000.AUHFCH9870 847
0000.CHTGBJ2019 0000.XOBSLI3546 300
0000.CHTGBJ2019 0000.GHWUPK1997 767
0000.CHTGBJ2019 0000.RCXDTE0899 762
0000.JUZDSL7036 0000.WBIYBI3266 471
0000.WBIYBI3266 0000.JUZDSL7036 471
0000.WBIYBI3266 0000.ETZSMJ1488 349
0000.WBIYBI3266 0000.HYJRNZ1065 889
0000.WBIYBI3266 0000.SYBTRS0706 518
0000.FQLSMY3109 0000.WXJMOX3894 377
0000.FQLSMY3109 0000.AOHOYN3141 410
0000.FQLSMY3109 0000.FBJYLJ0271 145
0000.WXJMOX3894 0000.FQLSMY3109 377
0000.WXJMOX3894 0000.HUPFDV5040 272
0000.WXJMOX3894 0000.XOBSLI3546 955
0000.DLXJIQ3010 0000.XOBSLI3546 298
0000.DLXJIQ3010 0000.TLGMSA7561 773
0000.SMTQOV2995 0000.TMJXYH1328 301
0000.SMTQOV2995 0000.YBGLBS9999 680
0000.SMTQOV2995 0000.PBJIYU1885 126
0000.TMJXYH1328 0000.SMTQOV2995 301
0000.BKVGVP3482 0000.PYGXBQ8401 386
0000.BKVGVP3482 0000.QULLOZ2927 750
0000.BKVGVP3482 0000.SYBTRS0706 56
0000.BKVGVP3482 0000.FOBGXO0351 427
0000.BKVGVP3482 0000.XOBSLI3546 25
0000.BKVGVP3482 0000.LXWXNC5431 315
0000.BKVGVP3482 0000.PDTYTX2098 951
0000.UJABPV9862 0000.YLKLWO1535 618
0000.UJABPV9862 0000.HEVDOO2991 989
0000.YLKLWO1535 0000.UJABPV9862 618
0000.NSAZHM6059 0000.QULLOZ2927 918
0000.NSAZHM6059 0000.HWYNUZ0835 24
0000.QULLOZ2927 0000.NSAZHM6059 918
0000.QULLOZ2927 0000.BKVGVP3482 750
0000.QULLOZ2927 0000.CAQFLT8604 580
0000.QULLOZ2927 0000.NFXHGL8551 747
0000.YBGLBS9999 0000.SMTQOV2995 680
0000.YBGLBS9999 0000.DBFTRN6071 931
0000.HWYNUZ0835 0000.NSAZHM6059 24
0000.OHJRVS9034 0000.ZEDPRT8240 316
0000.OHJRVS9034 0000.AUHFCH9870 404
0000.ZEDPRT8240 0000.OHJRVS9034 316
0000.ETZSMJ1488 0000.WBIYBI3266 349
0000.CCCUFU7135 0000.ZPIXBO8405 961
0000.CCCUFU7135 0000.FOBGXO0351 790
0000.ZPIXBO8405 0000.CCCUFU7135 961
0000.FOBGXO0351 0000.HQAFPN6653 107
0000.FOBGXO0351 0000.ZXUHEY4971 530
0000.FOBGXO0351 0000.NPDENX0858 132
0000.FOBGXO0351 0000.XXFPJL4378 580
0000.FOBGXO0351 0000.PWMVQN2133 734
0000.FOBGXO0351 0000.LOGHCG9331 240
0000.FOBGXO0351 0000.BKVGVP3482 427
0000.FOBGXO0351 0000.CCCUFU7135 790
0000.FOBGXO0351 0000.IDJGZI4350 339
0000.HQAFPN6653 0000.FOBGXO0351 107
0000.GBTIMM5705 0000.IOJWYQ0743 746
0000.GBTIMM5705 0000.CAQFLT8604 745
0000.IOJWYQ0743 0000.GBTIMM5705 746
0000.NPDENX0858 0000.NWPDBL7511 2
0000.NPDENX0858 0000.QORHXW6477 849
0000.NPDENX0858 0000.FOBGXO0351 132
0000.PBJIYU1885 0000.CAAJZU0477 519
0000.PBJIYU1885 0000.SMTQOV2995 126
0000.PBJIYU1885 0000.BAUABI8431 239
0000.PBJIYU1885 0000.CAQFLT8604 949
0000.BOVXYU3436 0000.JEFALU7807 983
0000.BOVXYU3436 0000.XOBSLI3546 292
0000.JEFALU7807 0000.BOVXYU3436 983
0000.JEFALU7807 0000.XPVYKQ9146 389
0000.RZBTKV8420 0000.FSPXML0512 19
0000.PEJJAG1836 0000.RQLRTP9170 892
0000.ZXUHEY4971 0000.FOBGXO0351 530
0000.JXDNZM7828 0000.EHDNPY9862 84
0000.LRNYJN7329 0000.MGHFRZ4513 56
0000.TAAFAN8506 0000.SYBTRS0706 60
0000.TAAFAN8506 0000.IYOQPK1729 523
0000.HYJRNZ1065 0000.WBIYBI3266 889
0000.EAEWSL3704 0000.XYRBJA3231 70
0000.XYRBJA3231 0000.EAEWSL3704 70
0000.XYRBJA3231 0000.LYYABQ5017 991
0000.QORHXW6477 0000.NPDENX0858 849
0000.EIPNTX4787 0000.XOBSLI3546 89
0000.IYOQPK1729 0000.TAAFAN8506 523
0000.KDSXCI8756 0000.ZZVCJK5990 878
0000.HDZLOB3940 0000.LOGHCG9331 37
0000.LOGHCG9331 0000.HDZLOB3940 37
0000.LOGHCG9331 0000.FOBGXO0351 240
0000.LOGHCG9331 0000.SDOJWV9550 883
0000.LYYABQ5017 0000.BINOER6583 357
0000.LYYABQ5017 0000.XYRBJA3231 991
0000.AOHOYN3141 0000.FQLSMY3109 410
0000.DBFTRN6071 0000.YBGLBS9999 931
0000.XXFPJL4378 0000.FOBGXO0351 580
0000.BWOUKF2097 0000.RQLRTP9170 505
0000.BAUABI8431 0000.PBJIYU1885 239
0000.BAUABI8431 0000.SHEKBU5001 539
0000.RCXDTE0899 0000.CHTGBJ2019 762
0000.RCXDTE0899 0000.QBMKOY3498 850
0000.OZPAPV7189 0000.BINOER6583 955
0000.NFQDRK2262 0000.SXRAMZ4389 653
0000.SHEKBU5001 0000.BAUABI8431 539
0000.PWMVQN2133 0000.FOBGXO0351 734
0000.VBRTKF1108 0000.CAQFLT8604 26
0000.NFXHGL8551 0000.QULLOZ2927 747
0000.QBMKOY3498 0000.RCXDTE0899 850
0000.LXWXNC5431 0000.BKVGVP3482 315
0000.XPVYKQ9146 0000.JEFALU7807 389
0000.IDJGZI4350 0000.FOBGXO0351 339
0000.IDJGZI4350 0000.NHPJLG9935 499
0000.UZIRHO7066 0000.MGHFRZ4513 454
0000.ZMMBLO5549 0000.OGBQPR8442 334
0000.FBJYLJ0271 0000.FQLSMY3109 145
0000.NHPJLG9935 0000.IDJGZI4350 499
0000.ZAAYIA1513 0000.MGHFRZ4513 633
